                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75349,                 2.2397,                0.94224,                0.38879,                0.33947,                0.38276,                0.27476,                 1.0785,                 4.9709,                 1.2224,             0.00036152,             0.00036152,             0.00036152
                      2,                0.80402,                 1.5493,                0.97479,                0.28781,                0.39224,                0.25318,                0.17458,                 1.2166,                 2.8099,                 1.2245,             0.00072823,             0.00072823,             0.00072823
                      3,                0.78608,                 1.3465,                 0.9718,                0.38544,                0.45875,                 0.3239,                0.20204,                 1.2811,                 4.2646,                 1.7505,              0.0010913,              0.0010913,              0.0010913
                      4,                0.82411,                 1.2655,                0.98717,                 0.7651,                0.29121,                0.26529,                0.20083,                 1.2341,                 2.9264,                  1.376,              0.0010945,              0.0010945,              0.0010945
                      5,                0.83351,                 1.2217,                 1.0008,                0.50198,                0.36676,                0.38577,                0.26481,                 1.2013,                 3.2351,                 1.3158,              0.0010945,              0.0010945,              0.0010945
                      6,                0.83817,                 1.1384,                 1.0086,                 0.2994,                0.51815,                0.31327,                0.22797,                 1.1858,                 2.0111,                 1.2909,               0.001089,               0.001089,               0.001089
                      7,                 0.7839,                 1.0907,                 0.9849,                0.77022,                0.32216,                0.38179,                0.27645,                 1.2671,                 2.4795,                 1.3227,              0.0010835,              0.0010835,              0.0010835
                      8,                0.79113,                 1.0435,                0.97947,                0.38186,                0.54165,                0.42507,                0.27351,                 1.3257,                 3.1063,                 1.3558,               0.001078,               0.001078,               0.001078
                      9,                0.79078,                 1.0719,                0.97994,                0.49094,                0.61401,                0.39491,                0.22056,                 1.3105,                 2.2395,                 1.4246,              0.0010725,              0.0010725,              0.0010725
                     10,                0.76196,                0.99908,                0.96891,                 0.4326,                 0.4329,                 0.3992,                0.24899,                 1.4622,                 2.2925,                 1.4977,               0.001067,               0.001067,               0.001067
                     11,                0.78957,                 1.0248,                0.97062,                0.31074,                0.62294,                0.40031,                0.29493,                 1.3306,                 2.0991,                  1.305,              0.0010615,              0.0010615,              0.0010615
                     12,                0.76168,                0.98069,                0.97015,                0.52897,                0.63176,                0.49361,                0.33377,                 1.2448,                 1.5306,                 1.3078,               0.001056,               0.001056,               0.001056
                     13,                0.76445,                0.95958,                 0.9576,                  0.514,                0.37882,                0.45746,                0.28335,                 1.2719,                  2.135,                 1.3258,              0.0010505,              0.0010505,              0.0010505
                     14,                 0.7333,                  0.953,                0.95425,                0.66438,                 0.5591,                0.62809,                0.39668,                 1.1854,                 1.2876,                 1.2455,               0.001045,               0.001045,               0.001045
                     15,                0.74155,                 0.8983,                0.95729,                0.59763,                0.68383,                0.54402,                0.37287,                 1.2299,                 1.4102,                  1.285,              0.0010395,              0.0010395,              0.0010395
                     16,                0.73957,                0.88765,                0.95877,                0.35375,                0.61951,                0.38164,                0.26577,                 1.2877,                 1.8383,                 1.3124,               0.001034,               0.001034,               0.001034
                     17,                0.72906,                0.89758,                0.94525,                0.45216,                 0.6614,                0.51113,                0.32765,                  1.287,                 1.7611,                 1.3354,              0.0010285,              0.0010285,              0.0010285
                     18,                0.72995,                0.85429,                0.94071,                0.43162,                0.58803,                0.41153,                0.28267,                 1.2892,                 1.7152,                 1.3129,               0.001023,               0.001023,               0.001023
